"issue_key","reporter","created"
"XD-3769","fokuo","2018-11-16T15:57:31.000+0000"
"XD-3768","abhineet27","2017-07-10T12:41:25.000+0000"
"XD-3767","dr_pompeii","2017-06-26T15:26:26.000+0000"
"XD-3766","keerthikanth","2017-05-19T21:28:43.000+0000"
"XD-3765","mark.pollack","2017-03-21T16:54:43.000+0000"
"XD-3764","srikar2705d","2017-03-06T20:01:41.000+0000"
"XD-3763","knoga","2017-01-23T10:21:08.000+0000"
"XD-3762","fado","2016-11-07T09:10:20.000+0000"
"XD-3761","joe75","2016-09-25T08:03:53.000+0000"
"XD-3760","chuayw","2016-09-19T05:43:48.000+0000"
"XD-3759","sabby","2016-07-19T20:56:06.000+0000"
"XD-3758","cloudoo","2016-06-20T06:35:33.000+0000"
"XD-3757","mgervais","2016-05-27T14:13:22.000+0000"
"XD-3756","lhhzdx","2016-05-23T09:11:58.000+0000"
"XD-3755","grussell","2016-05-02T22:13:07.000+0000"
"XD-3754","grussell","2016-05-02T22:09:05.000+0000"
"XD-3753","thomas.risberg","2016-03-31T22:35:55.000+0000"
"XD-3752","manju4ever","2016-03-14T18:09:51.000+0000"
"XD-3751","jvalkeal","2016-03-03T13:22:14.000+0000"
"XD-3750","aliiqbal","2016-02-29T10:00:18.000+0000"
"XD-3749","grussell","2016-02-26T15:57:18.000+0000"
"XD-3748","dgarcia","2016-02-24T10:51:02.000+0000"
"XD-3747","grussell","2016-02-23T18:31:37.000+0000"
"XD-3746","mark.pollack","2016-02-23T18:18:48.000+0000"
"XD-3745","mark.pollack","2016-02-23T18:04:09.000+0000"
"XD-3744","grussell","2016-02-22T15:27:31.000+0000"
"XD-3743","grussell","2016-02-17T14:28:31.000+0000"
"XD-3742","dturanski","2016-02-16T14:59:06.000+0000"
"XD-3741","stefano.massera","2016-02-13T19:04:24.000+0000"
"XD-3740","dgarcia","2016-02-11T17:45:54.000+0000"
"XD-3739","david_geary","2016-02-05T16:01:49.000+0000"
"XD-3738","dturanski","2016-02-03T09:40:05.000+0000"
"XD-3737","hillert","2016-02-02T17:52:11.000+0000"
"XD-3736","grussell","2016-02-01T19:00:42.000+0000"
"XD-3735","dturanski","2016-01-20T12:01:55.000+0000"
"XD-3734","grussell","2016-01-15T19:55:40.000+0000"
"XD-3733","dturanski","2016-01-14T13:10:10.000+0000"
"XD-3732","sabby","2016-01-13T23:26:00.000+0000"
"XD-3731","grussell","2016-01-13T15:17:03.000+0000"
"XD-3730","virgiled","2016-01-08T15:53:19.000+0000"
"XD-3729","arne.schmitz","2016-01-07T09:47:23.000+0000"
"XD-3728","nachiketbondale","2016-01-04T06:34:47.000+0000"
"XD-3727","grussell","2015-12-29T17:15:27.000+0000"
"XD-3726","spaladugu","2015-12-18T16:19:58.000+0000"
"XD-3725","grussell","2015-12-17T18:11:37.000+0000"
"XD-3724","yuweisung","2015-12-16T18:38:51.000+0000"
"XD-3723","fgreg","2015-12-14T22:35:13.000+0000"
"XD-3722","ali.iqbal@gmail.com","2015-12-14T18:44:25.000+0000"
"XD-3721","ali.iqbal@gmail.com","2015-12-14T18:40:55.000+0000"
"XD-3720","mgervais","2015-12-09T11:28:31.000+0000"
"XD-3719","fadzi","2015-12-09T06:21:39.000+0000"
"XD-3718","mbogoevici","2015-12-08T14:19:48.000+0000"
"XD-3717","dokeeffe","2015-12-07T11:53:45.000+0000"
"XD-3716","grussell","2015-12-02T23:15:01.000+0000"
"XD-3715","sabby","2015-11-30T15:11:45.000+0000"
"XD-3714","sabby","2015-11-30T14:33:00.000+0000"
"XD-3713","nachiketbondale","2015-11-27T13:11:27.000+0000"
"XD-3712","zwj520chx","2015-11-27T04:51:42.000+0000"
"XD-3711","mgervais","2015-11-25T08:51:22.000+0000"
"XD-3710","nachiketbondale","2015-11-24T13:59:56.000+0000"
"XD-3709","grussell","2015-11-21T16:59:25.000+0000"
"XD-3708","sabby","2015-11-16T19:16:45.000+0000"
"XD-3707","sabby","2015-11-15T21:52:20.000+0000"
"XD-3706","sabby","2015-11-12T17:17:25.000+0000"
"XD-3705","sabby","2015-11-12T15:57:58.000+0000"
"XD-3704","dturanski","2015-11-12T12:27:27.000+0000"
"XD-3703","fmarchand","2015-11-12T10:11:40.000+0000"
"XD-3702","mbogoevici","2015-11-11T16:48:34.000+0000"
"XD-3701","grussell","2015-11-11T15:44:36.000+0000"
"XD-3700","dokeeffe","2015-11-11T13:21:25.000+0000"
"XD-3699","sabby","2015-11-09T22:58:04.000+0000"
"XD-3698","sabby","2015-11-09T20:58:13.000+0000"
"XD-3697","dgarcia","2015-11-09T16:32:05.000+0000"
"XD-3696","sabby","2015-11-09T16:25:19.000+0000"
"XD-3695","sabby","2015-11-09T16:24:29.000+0000"
"XD-3694","eric.bottard","2015-11-09T15:44:36.000+0000"
"XD-3693","grussell","2015-11-06T16:15:53.000+0000"
"XD-3692","sabby","2015-11-06T16:09:22.000+0000"
"XD-3691","grenfro","2015-11-06T02:14:48.000+0000"
"XD-3690","thomas.risberg","2015-11-05T21:23:45.000+0000"
"XD-3689","grenfro","2015-11-05T14:03:33.000+0000"
"XD-3688","grussell","2015-11-04T19:45:00.000+0000"
"XD-3687","grenfro","2015-11-04T16:37:10.000+0000"
"XD-3686","jvalkeal","2015-11-04T13:44:00.000+0000"
"XD-3685","grenfro","2015-11-02T20:54:40.000+0000"
"XD-3684","sabby","2015-11-02T19:30:30.000+0000"
"XD-3683","sabby","2015-11-02T19:27:53.000+0000"
"XD-3682","sabby","2015-11-02T17:24:11.000+0000"
"XD-3681","sabby","2015-11-02T17:23:46.000+0000"
"XD-3680","sabby","2015-11-02T17:23:16.000+0000"
"XD-3679","sabby","2015-11-02T17:21:37.000+0000"
"XD-3678","sabby","2015-11-02T17:20:59.000+0000"
"XD-3677","sabby","2015-11-02T17:14:49.000+0000"
