"issue_key","issuetype","sprint_name","created","reporter","assignee","summary","description","storypoints","Tinprogress_proportion","Tassignee_proportion","Tsprint_proportion","isValid_inprogress","isValid_sprint","isValid_assignee","T1","T2","T3","T4","T5","T_sp_first","T_sp_second","T_sprint","T_sprint_plus_1hr","T_assignee","T_assignee_plus_1hr","T_inprogress","T_inprogress_plus_1hr","sp_estimator","T_infochange_start","T_sp","T_sp_year","T_sp_last","T_sp_after_sprint","last_summary","last_description","firststorypoints","sp_change","sp_sprint","sp_change_count","sp_diff_percent","count_comment_before","count_summ_before","info_change"
"XD-3765","Story","","2017-03-21T16:54:43.000+0000","mark.pollack","jvalkeal","Fix stream failover on YARN","See https://github.com/spring-projects/spring-xd/issues/1924",8.0,-1.0,0.0,-1.0,False,False,False,1490115283000.0,-1.0,-1.0,1490115283000.0,1490115323000.0,1490115283000.0,-1.0,-1.0,-1.0,1490115283000.0,1490115323000.0,-1.0,-1.0,"mark.pollack",-1.0,-1.0,0,1490115283000.0,-1.0,"Fix stream failover ","See https://github.com/spring-projects/spring-xd/issues/1924",-1.0,False,-1.0,0,-1.0,0,0,True
"XD-3748","Bug","","2016-02-24T10:51:02.000+0000","dgarcia","","Unable to register the JMX bean MessageHistory from Spring Integration","If I try to use <int:message-history/> when developing a Spring XD module, it fails when try to export the JMX bean. I've seen that the naming strategy used is org.springframework.xd.dirt.module.jmx.ModuleObjectNamingStrategy

The stackTrace:

2016-02-24T10:40:39+0000 1.3.1.RELEASE ERROR DeploymentsPathChildrenCache-0 container.DeploymentListener - Exception deploying module
org.springframework.jmx.export.UnableToRegisterMBeanException: Unable to register MBean [org.springframework.integration.history.MessageHistoryConfigurer@24902b5f] with key 'messageHistoryConfigurer'; nested exception is javax.management.MalformedObjectNameException: Key properties cannot be empty
	at org.springframework.integration.monitor.IntegrationMBeanExporter.registerBeanInstance(IntegrationMBeanExporter.java:375) ~[spring-integration-jmx-4.2.5.RELEASE.jar:na]
	at org.springframework.integration.monitor.IntegrationMBeanExporter.afterSingletonsInstantiated(IntegrationMBeanExporter.java:288) ~[spring-integration-jmx-4.2.5.RELEASE.jar:na]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:792) ~[spring-beans-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:839) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:538) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:686) ~[spring-boot-1.2.3.RELEASE.jar:1.2.3.RELEASE]
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:320) ~[spring-boot-1.2.3.RELEASE.jar:1.2.3.RELEASE]
	at org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:139) ~[spring-boot-1.2.3.RELEASE.jar:1.2.3.RELEASE]
	at org.springframework.xd.module.core.SimpleModule.initialize(SimpleModule.java:213) ~[spring-xd-module-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.module.ModuleDeployer.doDeploy(ModuleDeployer.java:217) ~[spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.module.ModuleDeployer.deploy(ModuleDeployer.java:200) ~[spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.deployModule(DeploymentListener.java:365) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.deployStreamModule(DeploymentListener.java:334) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.onChildAdded(DeploymentListener.java:181) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.childEvent(DeploymentListener.java:149) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:509) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:503) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.listen.ListenerContainer$1.run(ListenerContainer.java:92) [curator-framework-2.6.0.jar:na]
	at com.google.common.util.concurrent.MoreExecutors$SameThreadExecutorService.execute(MoreExecutors.java:297) [guava-16.0.1.jar:na]
	at org.apache.curator.framework.listen.ListenerContainer.forEach(ListenerContainer.java:83) [curator-framework-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache.callListeners(PathChildrenCache.java:500) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.EventOperation.invoke(EventOperation.java:35) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$10.run(PathChildrenCache.java:762) [curator-recipes-2.6.0.jar:na]
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511) [na:1.8.0_72]
	at java.util.concurrent.FutureTask.run(FutureTask.java:266) [na:1.8.0_72]
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511) [na:1.8.0_72]
	at java.util.concurrent.FutureTask.run(FutureTask.java:266) [na:1.8.0_72]
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142) [na:1.8.0_72]
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617) [na:1.8.0_72]
	at java.lang.Thread.run(Thread.java:745) [na:1.8.0_72]
Caused by: javax.management.MalformedObjectNameException: Key properties cannot be empty
	at javax.management.ObjectName.construct(ObjectName.java:483) ~[na:1.8.0_72]
	at javax.management.ObjectName.<init>(ObjectName.java:1382) ~[na:1.8.0_72]
	at javax.management.ObjectName.getInstance(ObjectName.java:1273) ~[na:1.8.0_72]
	at org.springframework.jmx.support.ObjectNameManager.getInstance(ObjectNameManager.java:62) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.xd.dirt.module.jmx.ModuleObjectNamingStrategy.getObjectName(ModuleObjectNamingStrategy.java:50) ~[spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.jmx.export.MBeanExporter.getObjectName(MBeanExporter.java:751) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
",1.0,0.0177127764643487,0.0177125092227001,-1.0,True,False,True,1456311062000.0,1456775022000.0,1456778622000.0,1482503684000.0,1482504584000.0,1456311062000.0,-1.0,-1.0,-1.0,1456775015000.0,1456778615000.0,1456775022000.0,1456778622000.0,"dgarcia",-1.0,-1.0,0,1456311062000.0,-1.0,"Unable to register the JMX bean MessageHistory from Spring Integration","If I try to use <int:message-history/> when developing a Spring XD module, it fails when try to export the JMX bean. I've seen that the naming strategy used is org.springframework.xd.dirt.module.jmx.ModuleObjectNamingStrategy

The stackTrace:
{code}
2016-02-24T10:40:39+0000 1.3.1.RELEASE ERROR DeploymentsPathChildrenCache-0 container.DeploymentListener - Exception deploying module
org.springframework.jmx.export.UnableToRegisterMBeanException: Unable to register MBean [org.springframework.integration.history.MessageHistoryConfigurer@24902b5f] with key 'messageHistoryConfigurer'; nested exception is javax.management.MalformedObjectNameException: Key properties cannot be empty
	at org.springframework.integration.monitor.IntegrationMBeanExporter.registerBeanInstance(IntegrationMBeanExporter.java:375) ~[spring-integration-jmx-4.2.5.RELEASE.jar:na]
	at org.springframework.integration.monitor.IntegrationMBeanExporter.afterSingletonsInstantiated(IntegrationMBeanExporter.java:288) ~[spring-integration-jmx-4.2.5.RELEASE.jar:na]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:792) ~[spring-beans-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:839) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:538) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:686) ~[spring-boot-1.2.3.RELEASE.jar:1.2.3.RELEASE]
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:320) ~[spring-boot-1.2.3.RELEASE.jar:1.2.3.RELEASE]
	at org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:139) ~[spring-boot-1.2.3.RELEASE.jar:1.2.3.RELEASE]
	at org.springframework.xd.module.core.SimpleModule.initialize(SimpleModule.java:213) ~[spring-xd-module-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.module.ModuleDeployer.doDeploy(ModuleDeployer.java:217) ~[spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.module.ModuleDeployer.deploy(ModuleDeployer.java:200) ~[spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.deployModule(DeploymentListener.java:365) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.deployStreamModule(DeploymentListener.java:334) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.onChildAdded(DeploymentListener.java:181) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.childEvent(DeploymentListener.java:149) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:509) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:503) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.listen.ListenerContainer$1.run(ListenerContainer.java:92) [curator-framework-2.6.0.jar:na]
	at com.google.common.util.concurrent.MoreExecutors$SameThreadExecutorService.execute(MoreExecutors.java:297) [guava-16.0.1.jar:na]
	at org.apache.curator.framework.listen.ListenerContainer.forEach(ListenerContainer.java:83) [curator-framework-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache.callListeners(PathChildrenCache.java:500) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.EventOperation.invoke(EventOperation.java:35) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$10.run(PathChildrenCache.java:762) [curator-recipes-2.6.0.jar:na]
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511) [na:1.8.0_72]
	at java.util.concurrent.FutureTask.run(FutureTask.java:266) [na:1.8.0_72]
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511) [na:1.8.0_72]
	at java.util.concurrent.FutureTask.run(FutureTask.java:266) [na:1.8.0_72]
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142) [na:1.8.0_72]
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617) [na:1.8.0_72]
	at java.lang.Thread.run(Thread.java:745) [na:1.8.0_72]
Caused by: javax.management.MalformedObjectNameException: Key properties cannot be empty
	at javax.management.ObjectName.construct(ObjectName.java:483) ~[na:1.8.0_72]
	at javax.management.ObjectName.<init>(ObjectName.java:1382) ~[na:1.8.0_72]
	at javax.management.ObjectName.getInstance(ObjectName.java:1273) ~[na:1.8.0_72]
	at org.springframework.jmx.support.ObjectNameManager.getInstance(ObjectNameManager.java:62) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.xd.dirt.module.jmx.ModuleObjectNamingStrategy.getObjectName(ModuleObjectNamingStrategy.java:50) ~[spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.jmx.export.MBeanExporter.getObjectName(MBeanExporter.java:751) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
{code}",-1.0,False,-1.0,0,-1.0,0,0,True
"XD-3747","Improvement","","2016-02-23T18:31:37.000+0000","grussell","","Rabbit BusL Expose ChannelCacheSize on CachingConnectionFactory","http://stackoverflow.com/questions/35563064/processing-messages-through-namedchannels-with-prefetch-1/35584333#35584333",1.0,0.2303359846852089,0.2302641813652062,-1.0,True,False,True,1456252297000.0,1462299139000.0,1462302739000.0,1482503665000.0,1482504565000.0,1456252297000.0,-1.0,-1.0,-1.0,1462297254000.0,1462300854000.0,1462299139000.0,1462302739000.0,"grussell",-1.0,-1.0,0,1456252297000.0,-1.0,"Rabbit Bus: Expose ChannelCacheSize on CachingConnectionFactory","http://stackoverflow.com/questions/35563064/processing-messages-through-namedchannels-with-prefetch-1/35584333#35584333",-1.0,False,-1.0,0,-1.0,-1,0,True
"XD-3746","Improvement","","2016-02-23T18:18:48.000+0000","mark.pollack","","Update Spring Framework to 4.2.4","",1.0,0.6111111111111112,0.6111111111111112,-1.0,False,False,False,1456251528000.0,1456251539000.0,1456251546000.0,1456251528000.0,1456251546000.0,1456251528000.0,-1.0,-1.0,-1.0,1456251539000.0,1456251546000.0,1456251539000.0,1456251546000.0,"mark.pollack",-1.0,-1.0,0,1456251528000.0,-1.0,"Update Spring Framework to 4.2.4","",-1.0,False,-1.0,0,-1.0,-1,0,False
"XD-3745","Improvement","","2016-02-23T18:04:09.000+0000","mark.pollack","","Update Spring-AMQP, RabbitMQ Client Versions","Update to amqp-client 3.6.0 and spring-amqp 1.5.4",1.0,0.40625,0.25,-1.0,False,False,False,1456250649000.0,1456250662000.0,1456250681000.0,1456250649000.0,1456250681000.0,1456250649000.0,-1.0,-1.0,-1.0,1456250657000.0,1456250681000.0,1456250662000.0,1456250681000.0,"mark.pollack",-1.0,-1.0,0,1456250649000.0,-1.0,"Update Spring-AMQP to 3.6, RabbitMQ Client to 1.5.4","Update to amqp-client 3.6.0 and spring-amqp 1.5.4",-1.0,False,-1.0,0,-1.0,-1,0,True
"XD-3744","Improvement","Sprint 68","2016-02-22T15:27:31.000+0000","grussell","grussell","Suppress DeliveryMode Header in RabbitMQ Source","Related to XD-2567 which fixed this problem, but only in the bus.

{quote}
2016-02-19T18:25:24-0500 1.2.1.RELEASE WARN SimpleAsyncTaskExecutor-1 support.DefaultAmqpHeaderMapper - skipping header 'amqp_deliveryMode' since it is not of expected type [class org.springframework.amqp.core.MessageDeliveryMode], it is [class org.springframework.amqp.core.MessageDeliveryMode]
{quote}",1.0,0.1133161512027491,0.0968213058419244,0.0968213058419244,True,True,True,1456154851000.0,1456156170000.0,1456159770000.0,1456165591000.0,1456166491000.0,1456154851000.0,-1.0,1456155978000.0,1456159578000.0,1456155978000.0,1456159578000.0,1456156170000.0,1456159770000.0,"grussell",1456159578000.0,1456154851000.0,46,1456154851000.0,-1.0,"Suppress DeliveryMode Header in RabbitMQ Source","Related to XD-2567 which fixed this problem, but only in the bus.

{quote}
2016-02-19T18:25:24-0500 1.2.1.RELEASE WARN SimpleAsyncTaskExecutor-1 support.DefaultAmqpHeaderMapper - skipping header 'amqp_deliveryMode' since it is not of expected type [class org.springframework.amqp.core.MessageDeliveryMode], it is [class org.springframework.amqp.core.MessageDeliveryMode]
{quote}",1.0,False,1.0,0,0.0,-1,1,False
"XD-3743","Bug","Sprint 68","2016-02-17T14:28:31.000+0000","grussell","Gary Russell","Update to Spring Integration 4.2.5 When Available (Fix Metrics)","See INT-3956",1.0,0.6199197074016018,0.61987341018671,0.0004199818779473,True,True,True,1455719311000.0,1455906771000.0,1455910371000.0,1456020805000.0,1456021705000.0,1455719311000.0,-1.0,1455719438000.0,1455723038000.0,1455906757000.0,1455910357000.0,1455906771000.0,1455910371000.0,"grussell",1455723038000.0,1455719311000.0,46,1455719311000.0,-1.0,"Update to Spring Integration 4.2.5 When Available (Fix Metrics)","See INT-3956",1.0,False,1.0,0,0.0,-1,0,False
"XD-3742","Improvement","Sprint 68","2016-02-16T14:59:06.000+0000","dturanski","dturanski","As a user I would like to encrypt secret information for SSL configuration","The following XD components have been identified to support SSL via an `sslProperties` property which points to the location of a properties file. The properties encryption extension for 1.3.1 does not currently apply to these:

  * Rabbit Message Bus
  * Rabbit Source
  * Rabbit Sink
  * Http Source (NettyHttpInboundChannelAdapter). 

This can be made to work in the case of Rabbit since the latest RabbitConnectionFactoryBean supports individual SSL properties settings as an alternative to the properties file. The http source may be extended to use the same approach.",3.0,0.3370220494175047,0.0,0.1867876459841521,True,True,True,1455634746000.0,1455728274000.0,1455731874000.0,1455911359000.0,1455912259000.0,1455634746000.0,-1.0,1455686582000.0,1455690182000.0,1455634746000.0,1455638346000.0,1455728274000.0,1455731874000.0,"dturanski",1455690182000.0,1455634746000.0,46,1455634746000.0,-1.0,"Enable in line SSL properties as an alternative to external properties files","The following XD components have been identified to support SSL via an `sslProperties` property which points to the location of a properties file. The properties encryption extension for 1.3.1 does not currently apply to these:

  * Rabbit Message Bus
  * Rabbit Source
  * Rabbit Sink
  * Http Source (NettyHttpInboundChannelAdapter). 

This can be made to work in the case of Rabbit since the latest RabbitConnectionFactoryBean supports individual SSL properties settings as an alternative to the properties file. The http source may be extended to use the same approach.",3.0,False,3.0,0,0.0,-1,0,True
"XD-3741","Bug","Sprint 68","2016-02-13T19:04:24.000+0000","stefano.massera","","[Flo] Stream creation/definitions doesn't show any component"," As a Flo for Spring XD user, I would like to be able to create a new stream using the graphicat UI. 

This flow should be shown in a graphical way also in definition tab.
!http://example.com/image.png!
Right now it doesn't happen due to a javascript error.

{code}
TypeError: this.node.getTransformToElement is not a function
    at Object.VElement.bbox (http://localhost:9393/admin-ui/lib/joint/src/vectorizer.js:323:36)
    at joint.dia.ElementView.joint.dia.CellView.extend.positionRelative (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2740:51)
    at null.<anonymous> (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2710:18)
    at http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:1177:23
    at eval (eval at createIterator (http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:1:0), <anonymous>:10:9)
    at Function.forEach (http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:3645:9)
    at joint.dia.ElementView.joint.dia.CellView.extend.update (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2700:11)
    at bound [as update] (http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:1005:21)
    at joint.dia.ElementView.joint.dia.CellView.extend.render (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2903:14)
    at joint.dia.Paper.Backbone.View.extend.addCell (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:5004:14)(anonymous function) @ :9393/admin-ui/lib/angular/angular.js:11500
:9393!attachment-name.jpg|thumbnail!
{code}
",1.0,-1.0,-1.0,0.0005875347611536,False,True,False,1455390264000.0,-1.0,-1.0,1456020816000.0,1456021716000.0,1455390264000.0,-1.0,1455390635000.0,1455394235000.0,-1.0,-1.0,-1.0,-1.0,"stefano.massera",1455394235000.0,1455390264000.0,46,1455390264000.0,-1.0,"[Flo] Stream creation/definitions doesn't show any component"," As a Flo for Spring XD user, I would like to be able to create a new stream using the graphicat UI. 

This flow should be shown in a graphical way also in definition tab.
!http://example.com/image.png!
Right now it doesn't happen due to a javascript error.

{code}
TypeError: this.node.getTransformToElement is not a function
    at Object.VElement.bbox (http://localhost:9393/admin-ui/lib/joint/src/vectorizer.js:323:36)
    at joint.dia.ElementView.joint.dia.CellView.extend.positionRelative (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2740:51)
    at null.<anonymous> (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2710:18)
    at http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:1177:23
    at eval (eval at createIterator (http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:1:0), <anonymous>:10:9)
    at Function.forEach (http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:3645:9)
    at joint.dia.ElementView.joint.dia.CellView.extend.update (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2700:11)
    at bound [as update] (http://localhost:9393/admin-ui/lib/lodash/lodash.compat.js:1005:21)
    at joint.dia.ElementView.joint.dia.CellView.extend.render (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:2903:14)
    at joint.dia.Paper.Backbone.View.extend.addCell (http://localhost:9393/admin-ui/lib/joint/dist/joint.all.clean.js:5004:14)(anonymous function) @ :9393/admin-ui/lib/angular/angular.js:11500
:9393!attachment-name.jpg|thumbnail!
{code}
",1.0,False,1.0,0,0.0,0,0,False
"XD-3740","Bug","Sprint 67","2016-02-11T17:45:54.000+0000","dgarcia","iperumal","Kafka message bus maxWait property is not set up","The maxWait property from server.yml in the message bus section for kafka is not propagated through the code, it is ignored.",1.0,0.3850721987967073,0.1070539849953087,0.1070539849953087,True,True,True,1455212754000.0,1455524257000.0,1455527857000.0,1456020801000.0,1456021701000.0,1455212754000.0,-1.0,1455299355000.0,1455302955000.0,1455299355000.0,1455302955000.0,1455524257000.0,1455527857000.0,"dgarcia",1455302955000.0,1455212754000.0,46,1455212754000.0,-1.0,"Kafka message bus maxWait property is not set up","The maxWait property from server.yml in the message bus section for kafka is not propagated through the code, it is ignored.",1.0,False,1.0,0,0.0,0,0,False
