"issue_key","commentId","created","author_username","issue_reporter","issue_created"
"XD-930",98115,"2014-01-28T22:05:15.039+0000","mark.pollack","luke","2013-10-08T09:40:56.000+0000"
"XD-930",98146,"2014-01-29T05:00:00.124+0000","luke","luke","2013-10-08T09:40:56.000+0000"
"XD-1905",105378,"2014-07-07T07:17:33.684+0000","mark.fisher","hillert","2014-07-01T09:01:50.000+0000"
"XD-892",93828,"2013-09-24T06:36:53.345+0000","hillert","williamsj","2013-09-23T11:16:21.000+0000"
"XD-892",93840,"2013-09-24T09:32:57.576+0000","hillert","williamsj","2013-09-23T11:16:21.000+0000"
"XD-892",93841,"2013-09-24T09:33:54.844+0000","hillert","williamsj","2013-09-23T11:16:21.000+0000"
"XD-892",93844,"2013-09-24T10:54:05.386+0000","williamsj","williamsj","2013-09-23T11:16:21.000+0000"
"XD-1825",106125,"2014-07-23T07:04:58.026+0000","mark.fisher","mark.pollack","2014-06-06T12:32:19.000+0000"
"XD-2624",112174,"2015-02-02T13:22:38.931+0000","sabby","mbogoevici","2015-01-20T13:40:08.000+0000"
"XD-794",93342,"2013-09-04T07:21:25.091+0000","hillert","hillert","2013-08-30T15:29:06.000+0000"
"XD-794",93347,"2013-09-04T08:07:54.069+0000","mark.fisher","hillert","2013-08-30T15:29:06.000+0000"
"XD-3741",127197,"2016-02-13T19:08:57.752+0000","sabby","stefano.massera","2016-02-13T19:04:24.000+0000"
"XD-3639",121217,"2015-11-03T13:37:47.730+0000","mark.fisher","eric.bottard","2015-10-23T12:13:38.000+0000"
"XD-3639",121591,"2015-11-14T16:01:27.625+0000","sabby","eric.bottard","2015-10-23T12:13:38.000+0000"
"XD-1274",98274,"2014-01-31T08:53:22.477+0000","mark.fisher","grussell","2014-01-28T10:24:08.000+0000"
"XD-1591",104257,"2014-06-06T11:40:02.024+0000","mark.pollack","pperalta","2014-04-17T14:12:59.000+0000"
"XD-1591",104477,"2014-06-12T16:11:32.053+0000","mark.fisher","pperalta","2014-04-17T14:12:59.000+0000"
"XD-830",93506,"2013-09-11T11:46:46.012+0000","aeisenberg","aeisenberg","2013-09-08T09:24:15.000+0000"
"XD-830",93742,"2013-09-20T10:24:39.411+0000","aeisenberg","aeisenberg","2013-09-08T09:24:15.000+0000"
"XD-830",94011,"2013-09-27T12:55:36.078+0000","aeisenberg","aeisenberg","2013-09-08T09:24:15.000+0000"
"XD-1431",101441,"2014-04-04T14:41:52.449+0000","iperumal","iperumal","2014-03-20T17:11:05.000+0000"
"XD-896",93901,"2013-09-25T09:27:55.838+0000","hillert","dturanski","2013-09-24T06:49:44.000+0000"
"XD-2642",111968,"2015-01-26T09:06:18.328+0000","jvalkeal","hlagos","2015-01-23T12:20:09.000+0000"
"XD-2642",111976,"2015-01-26T09:58:08.661+0000","hlagos","hlagos","2015-01-23T12:20:09.000+0000"
"XD-2642",111979,"2015-01-26T12:15:55.234+0000","jvalkeal","hlagos","2015-01-23T12:20:09.000+0000"
"XD-2642",111997,"2015-01-27T08:10:43.294+0000","hlagos","hlagos","2015-01-23T12:20:09.000+0000"
"XD-2642",112004,"2015-01-27T12:09:30.646+0000","hlagos","hlagos","2015-01-23T12:20:09.000+0000"
"XD-2642",112008,"2015-01-27T13:11:36.792+0000","hlagos","hlagos","2015-01-23T12:20:09.000+0000"
"XD-2642",112017,"2015-01-28T00:05:39.511+0000","jvalkeal","hlagos","2015-01-23T12:20:09.000+0000"
"XD-2642",113247,"2015-03-07T09:33:49.371+0000","sabby","hlagos","2015-01-23T12:20:09.000+0000"
"XD-2642",113286,"2015-03-09T06:13:15.609+0000","hlagos","hlagos","2015-01-23T12:20:09.000+0000"
"XD-3713",121938,"2015-11-27T14:46:35.768+0000","sabby","nachiketbondale","2015-11-27T13:11:27.000+0000"
"XD-3713",121970,"2015-11-30T08:53:26.504+0000","nachiketbondale","nachiketbondale","2015-11-27T13:11:27.000+0000"
"XD-3713",122071,"2015-12-02T11:06:22.195+0000","nachiketbondale","nachiketbondale","2015-11-27T13:11:27.000+0000"
