"issue_key","commentId","created","author_username","issue_reporter","issue_created"
"USERGRID-135",13986595,"2014-05-01T13:56:30.203+0000","akarasulu","akarasulu","2014-05-01T13:54:16.000+0000"
"USERGRID-653",14623874,"2015-07-12T16:24:52.945+0000","jeffreyawest","jeffreyawest","2015-05-13T00:21:10.000+0000"
"USERGRID-647",15419448,"2016-08-12T20:44:38.197+0000","ayesha12","jeffreyawest","2015-05-12T17:08:09.000+0000"
"USERGRID-1178",15659202,"2016-11-12T07:19:02.834+0000","lynchlee","brandonshelley","2015-12-09T18:47:00.000+0000"
"USERGRID-1178",15659204,"2016-11-12T07:19:41.101+0000","lynchlee","brandonshelley","2015-12-09T18:47:00.000+0000"
"USERGRID-1178",15659216,"2016-11-12T07:30:19.927+0000","brandonshelley","brandonshelley","2015-12-09T18:47:00.000+0000"
"USERGRID-121",13965626,"2014-04-10T18:05:59.078+0000","edanuff","djohnson","2014-04-10T17:38:05.000+0000"
"USERGRID-121",13965743,"2014-04-10T19:24:41.703+0000","djohnson","djohnson","2014-04-10T17:38:05.000+0000"
"USERGRID-121",13974263,"2014-04-18T17:11:38.440+0000","djohnson","djohnson","2014-04-10T17:38:05.000+0000"
"USERGRID-121",14032574,"2014-06-16T15:47:43.190+0000","djohnson","djohnson","2014-04-10T17:38:05.000+0000"
"USERGRID-1193",15374248,"2016-07-13T03:18:21.082+0000","mrusso","jeffreyawest","2016-01-05T20:09:08.000+0000"
"USERGRID-874",14644989,"2015-07-28T20:23:54.423+0000","djohnson","jeffreyawest","2015-07-22T20:17:07.000+0000"
"USERGRID-1187",15076111,"2015-12-31T20:02:03.874+0000","githubbot","greyes","2015-12-30T19:40:02.000+0000"
"USERGRID-90",13939965,"2014-03-18T23:36:20.463+0000","greyes","greyes","2014-03-10T20:59:02.000+0000"
"USERGRID-90",13942075,"2014-03-20T18:14:26.796+0000","greyes","greyes","2014-03-10T20:59:02.000+0000"
"USERGRID-90",13964714,"2014-04-09T21:53:45.117+0000","greyes","greyes","2014-03-10T20:59:02.000+0000"
"USERGRID-84",13922618,"2014-03-06T15:07:45.187+0000","djohnson","djohnson","2014-03-06T15:06:49.000+0000"
"USERGRID-84",13925969,"2014-03-10T18:03:10.057+0000","djohnson","djohnson","2014-03-06T15:06:49.000+0000"
"USERGRID-1352",16721707,"2018-12-14T19:01:32.742+0000","githubbot","bursech","2018-12-14T18:58:56.000+0000"
"USERGRID-1352",16730790,"2018-12-29T19:08:28.522+0000","githubbot","bursech","2018-12-14T18:58:56.000+0000"
"USERGRID-1346",16403282,"2018-03-17T05:40:16.078+0000","jaskaran","jaskaran","2017-11-09T16:05:51.000+0000"
"USERGRID-451",14371292,"2015-03-20T13:47:27.409+0000","tnine","safeldm","2015-03-03T22:01:56.000+0000"
"USERGRID-323",14279606,"2015-01-16T00:44:29.881+0000","safeldm","rockerston","2015-01-09T21:36:41.000+0000"
"USERGRID-445",14345753,"2015-03-03T21:21:23.146+0000","safeldm","tnine","2015-03-02T22:13:04.000+0000"
"USERGRID-445",14623873,"2015-07-12T16:23:43.604+0000","jeffreyawest","tnine","2015-03-02T22:13:04.000+0000"
"USERGRID-486",14372196,"2015-03-20T21:54:33.091+0000","tnine","tnine","2015-03-17T15:25:29.000+0000"
"USERGRID-519",15095264,"2016-01-13T00:04:55.285+0000","mrusso","jeffreyawest","2015-03-25T18:16:02.000+0000"
"USERGRID-1232",15658996,"2016-11-12T04:40:53.279+0000","lynchlee","jeffreyawest","2016-01-16T17:33:52.000+0000"
"USERGRID-1232",15659004,"2016-11-12T04:46:33.825+0000","lynchlee","jeffreyawest","2016-01-16T17:33:52.000+0000"
"USERGRID-257",14226502,"2014-11-26T17:31:19.989+0000","githubbot","rockerston","2014-11-26T17:26:58.000+0000"
