"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:FALSE,FALSE:TRUE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"lix","numeric","lowerOrEqual,46.6666666666667"
"colemanlieu","numeric","lowerOrEqual,12.3781"
"text_bernoulli","numeric","greaterOrEqual,1.65782568895712e-20"
"text_complement","numeric","greaterOrEqual,0.183481055877758"
"reporter_recent_bugnum","numeric","greaterOrEqual,2.17223946331069"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.980769230769231"
"assignee_bugnum","numeric","greaterOrEqual,38"
"assignee_recent_bugnum","numeric","lowerOrEqual,8.75265177804977"
"count_summ_before","numeric","greaterOrEqual,0.029493351932615"
"sp_sprint","numeric","lowerOrEqual,4.51612508483231"
