"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"firststorypoints","numeric","greaterOrEqual,2.00735699571669"
"flesch","numeric","lowerOrEqual,51.1398"
"lix","numeric","greaterOrEqual,50.4840982380958"
"text_gaussian","numeric","greaterOrEqual,4.66487949001067e-190"
"text_bernoulli","numeric","greaterOrEqual,0.00170069271011907"
"text_complement","numeric","greaterOrEqual,0.313636248319053"
"reporter_bugnum","numeric","greaterOrEqual,49.0531125105917"
"reporter_recent_bugnum","numeric","greaterOrEqual,9.00642882287502"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.848873170330739"
"assignee_bugnum","numeric","greaterOrEqual,38.1786256651394"
"assignee_recent_bugnum","numeric","greaterOrEqual,7.00221911864355"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.87231047969214"
"count_summ_before","numeric","lowerOrEqual,0.541691671824083"
"wordsDiff","numeric","lowerOrEqual,-0.102134774439037"
"sp_diff","numeric","lowerOrEqual,-0.0145972822792828"
"collab_betweenness","numeric","lowerOrEqual,0.547540983606557"
"collab_closeness","numeric","greaterOrEqual,0.750070471917173"
"collab_kcore","numeric","lowerOrEqual,1.98353911913"
"collab_out_degree","numeric","greaterOrEqual,22.0010598811787"
