"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,54.3333333333333"
"colemanlieu","numeric","greaterOrEqual,15.34365"
"text_multinomial","numeric","greaterOrEqual,0.0442140173166199"
"text_gaussian","numeric","greaterOrEqual,8.87437594476117e-82"
"text_bernoulli","numeric","greaterOrEqual,0.0001424686332819"
"reporter_bugnum","numeric","lowerOrEqual,57.7214218033478"
"reporter_recent_bugnum","numeric","greaterOrEqual,11.0062549961731"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.908383496331337"
"assignee_recent_bugnum","numeric","lowerOrEqual,7.99255534820259"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.907252428682856"
"count_summ_before","numeric","lowerOrEqual,0.646192148677073"
"wordsDiff","numeric","lowerOrEqual,-0.0540739307180047"
"sp_diff","numeric","lowerOrEqual,-0.0529846788849682"
"sp_sprint","numeric","greaterOrEqual,4.00053251255304"
"collab_betweenness","numeric","greaterOrEqual,0.302801765664106"
"collab_closeness","numeric","greaterOrEqual,0.46390003455351"
"collab_in_degree","numeric","greaterOrEqual,15.0204751193523"
"collab_kcore","numeric","lowerOrEqual,1.99516381695867"
