"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,49.7624698781098"
"colemanlieu","numeric","greaterOrEqual,13.9915788717186"
"text_multinomial","numeric","greaterOrEqual,0.0330552994582401"
"text_gaussian","numeric","lowerOrEqual,0.570917504141107"
"text_bernoulli","numeric","greaterOrEqual,8.94134504419647e-07"
"reporter_bugnum","numeric","greaterOrEqual,75.2246848959476"
"reporter_recent_bugnum","numeric","lowerOrEqual,19.9724598804023"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.910073756091175"
"assignee_recent_bugnum","numeric","lowerOrEqual,3.51654751226306"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.868518410051991"
"count_summ_before","numeric","lowerOrEqual,0.514789234614"
"wordsDiff","numeric","lowerOrEqual,-0.28445326234214"
"sp_diff","numeric","lowerOrEqual,-0.0020990374032408"
"sp_sprint","numeric","lowerOrEqual,2.99866913352162"
"collab_closeness","numeric","lowerOrEqual,0.526739497617763"
"collab_kcore","numeric","lowerOrEqual,1.91469433088787"
"collab_out_degree","numeric","lowerOrEqual,20.6616980123799"
