"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"OB","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:FALSE,FALSE:TRUE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"colemanlieu","numeric","greaterOrEqual,18.9870241803709"
"smog","numeric","lowerOrEqual,12.3072334317961"
"text_multinomial","numeric","greaterOrEqual,0.0057381204234749"
"text_gaussian","numeric","lowerOrEqual,0.520157428225502"
"text_bernoulli","numeric","greaterOrEqual,4.35863181216503e-16"
"reporter_bugnum","numeric","lowerOrEqual,18.9359039829578"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.964156973289216"
"assignee_recent_bugnum","numeric","lowerOrEqual,9.76471410156228"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.956402652945386"
"count_summ_before","numeric","greaterOrEqual,0.00207267282530665"
"wordsDiff","numeric","lowerOrEqual,-0.087145040044561"
"sp_diff","numeric","lowerOrEqual,-1"
"sp_sprint","numeric","lowerOrEqual,4.95013966364786"
"collab_betweenness","numeric","lowerOrEqual,0.267857142857143"
"collab_closeness","numeric","greaterOrEqual,0.408900909761495"
"collab_eigen_vector","numeric","lowerOrEqual,0.419017437712817"
"collab_in_degree","numeric","greaterOrEqual,23.730731010437"
