"varname","cls","rule"
"has_CODE","factor","TRUE:FALSE,FALSE:TRUE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"firststorypoints","numeric","greaterOrEqual,3.0051922025159"
"lix","numeric","greaterOrEqual,48.6514787118128"
"text_gaussian","numeric","greaterOrEqual,4.60223302018344e-29"
"text_bernoulli","numeric","greaterOrEqual,5.41153717395421e-05"
"text_complement","numeric","greaterOrEqual,0.366000583691459"
"reporter_bugnum","numeric","lowerOrEqual,17.8546596925007"
"reporter_recent_bugnum","numeric","lowerOrEqual,9.8073776809033"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.861944521210028"
"assignee_recent_bugnum","numeric","lowerOrEqual,4.53743538167328"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.848598683671512"
"count_comment_before","numeric","lowerOrEqual,-0.00295810238458216"
"count_summ_before","numeric","lowerOrEqual,0.572064178995788"
"wordsDiff","numeric","lowerOrEqual,0.997041897615418"
"sp_diff","numeric","lowerOrEqual,-2"
"collab_betweenness","numeric","greaterOrEqual,0.426902319867173"
"collab_closeness","numeric","greaterOrEqual,0.805061611597752"
"collab_in_degree","numeric","greaterOrEqual,7.39532994618639"
