"varname","cls","rule"
"has_CODE","factor","TRUE:FALSE,FALSE:TRUE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"firststorypoints","numeric","greaterOrEqual,3.00919333891943"
"lix","numeric","greaterOrEqual,47.5604187281763"
"text_gaussian","numeric","greaterOrEqual,0.00369388494453826"
"text_bernoulli","numeric","greaterOrEqual,0.0003652512337732"
"text_complement","numeric","greaterOrEqual,0.432108851359365"
"reporter_bugnum","numeric","lowerOrEqual,18.4116875100881"
"reporter_recent_bugnum","numeric","lowerOrEqual,9.50734667433426"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.862002347383072"
"assignee_recent_bugnum","numeric","greaterOrEqual,4.12839893251657"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.83297110996554"
"count_comment_before","numeric","lowerOrEqual,-0.00738776987418532"
"count_summ_before","numeric","lowerOrEqual,0.82878711563535"
"wordsDiff","numeric","lowerOrEqual,25.4188472063979"
"sp_diff","numeric","lowerOrEqual,-2"
"collab_betweenness","numeric","greaterOrEqual,0.40952380952381"
"collab_closeness","numeric","greaterOrEqual,0.824230543943122"
"collab_in_degree","numeric","greaterOrEqual,6.02019692538306"
