"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,53.7914438502674"
"colemanlieu","numeric","greaterOrEqual,15.09895"
"text_multinomial","numeric","greaterOrEqual,0.0418135903126901"
"text_gaussian","numeric","lowerOrEqual,0.374943867558613"
"text_bernoulli","numeric","greaterOrEqual,0.0001381733735543"
"reporter_bugnum","numeric","lowerOrEqual,57.5982324369252"
"reporter_recent_bugnum","numeric","greaterOrEqual,11.0520039570983"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.908522066981426"
"assignee_recent_bugnum","numeric","lowerOrEqual,6.97268843464553"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.907011440285106"
"count_summ_before","numeric","lowerOrEqual,1.11518597276881"
"wordsDiff","numeric","lowerOrEqual,-0.0879086160566658"
"sp_diff","numeric","lowerOrEqual,-0.264165231026709"
"sp_sprint","numeric","greaterOrEqual,4.0332900325302"
"collab_betweenness","numeric","greaterOrEqual,0.301282051282051"
"collab_closeness","numeric","lowerOrEqual,0.474683888641672"
"collab_in_degree","numeric","greaterOrEqual,15.0571314012632"
"collab_kcore","numeric","lowerOrEqual,1.99326201179065"
