"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,50.0124816404423"
"colemanlieu","numeric","lowerOrEqual,14.1851108018481"
"text_multinomial","numeric","greaterOrEqual,0.0349136354407308"
"text_gaussian","numeric","lowerOrEqual,0.641588028054684"
"text_bernoulli","numeric","greaterOrEqual,6.04046985564277e-05"
"reporter_bugnum","numeric","greaterOrEqual,73.6361431824043"
"reporter_recent_bugnum","numeric","greaterOrEqual,19.1764480334241"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.910729800181909"
"assignee_recent_bugnum","numeric","lowerOrEqual,3.99404718121514"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.868681480618159"
"count_summ_before","numeric","lowerOrEqual,0.784201981383376"
"wordsDiff","numeric","lowerOrEqual,-0.0198811949230731"
"sp_diff","numeric","lowerOrEqual,-0.0173167402390391"
"sp_sprint","numeric","greaterOrEqual,3.00141651369631"
"collab_closeness","numeric","lowerOrEqual,0.529622080549598"
"collab_kcore","numeric","lowerOrEqual,1.95707571692765"
"collab_out_degree","numeric","greaterOrEqual,21.21593094524"
