"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:FALSE,FALSE:TRUE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"firststorypoints","numeric","greaterOrEqual,2.00127280224115"
"flesch","numeric","lowerOrEqual,52.03685"
"lix","numeric","greaterOrEqual,50.0065658394463"
"text_gaussian","numeric","greaterOrEqual,3.20904199318548e-197"
"text_bernoulli","numeric","greaterOrEqual,0.00466256622062525"
"text_complement","numeric","greaterOrEqual,0.323902022745335"
"reporter_bugnum","numeric","greaterOrEqual,52.0616151145659"
"reporter_recent_bugnum","numeric","greaterOrEqual,10.0044355383143"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.848857720769513"
"assignee_bugnum","numeric","greaterOrEqual,37.1947757606395"
"assignee_recent_bugnum","numeric","greaterOrEqual,7.0084878122434"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.87230991050226"
"count_summ_before","numeric","lowerOrEqual,0.542548187309876"
"wordsDiff","numeric","lowerOrEqual,-0.212840691907331"
"sp_diff","numeric","lowerOrEqual,-0.0138070792891085"
"collab_betweenness","numeric","greaterOrEqual,0.544203675740725"
"collab_closeness","numeric","greaterOrEqual,0.750005527101457"
"collab_kcore","numeric","lowerOrEqual,1.98520688293502"
"collab_out_degree","numeric","greaterOrEqual,22.0253252566326"
