"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:FALSE,FALSE:TRUE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"firststorypoints","numeric","lowerOrEqual,2.98313510371372"
"colemanlieu","numeric","greaterOrEqual,16.175"
"smog","numeric","lowerOrEqual,13.4833600822245"
"text_gaussian","numeric","lowerOrEqual,0.691704009077512"
"text_bernoulli","numeric","greaterOrEqual,5.54570541729552e-14"
"text_complement","numeric","greaterOrEqual,0.142621653119604"
"reporter_bugnum","numeric","greaterOrEqual,19.1831826912239"
"reporter_recent_bugnum","numeric","lowerOrEqual,4.99550750572234"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.938981344826631"
"assignee_bugnum","numeric","greaterOrEqual,14.0107011939399"
"assignee_recent_bugnum","numeric","greaterOrEqual,3.10109432484023"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.940563176247801"
"count_summ_before","numeric","lowerOrEqual,0.663957324344665"
"wordsDiff","numeric","lowerOrEqual,-0.0586659647524357"
"sp_diff","numeric","lowerOrEqual,-0.00160934519954026"
"collab_betweenness","numeric","greaterOrEqual,0.359182171247712"
"collab_closeness","numeric","lowerOrEqual,0.477662591176324"
"collab_in_degree","numeric","lowerOrEqual,23.8762946128845"
"collab_kcore","numeric","lowerOrEqual,1.89890567515977"
