"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"firststorypoints","numeric","greaterOrEqual,2.0061647798866"
"flesch","numeric","lowerOrEqual,52.2394"
"lix","numeric","greaterOrEqual,50.1372887864823"
"text_gaussian","numeric","greaterOrEqual,1.93996740813353e-144"
"text_bernoulli","numeric","greaterOrEqual,0.0025060447389441"
"text_complement","numeric","greaterOrEqual,0.323012201889651"
"reporter_bugnum","numeric","greaterOrEqual,48.0323071097955"
"reporter_recent_bugnum","numeric","lowerOrEqual,8.98993485304527"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.848769117414686"
"assignee_bugnum","numeric","greaterOrEqual,36.0051737409085"
"assignee_recent_bugnum","numeric","lowerOrEqual,6.99371867300943"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.872094868255246"
"count_summ_before","numeric","lowerOrEqual,0.615249586058781"
"wordsDiff","numeric","lowerOrEqual,-0.00284238648600876"
"sp_diff","numeric","lowerOrEqual,-0.0241070408374071"
"collab_betweenness","numeric","greaterOrEqual,0.544492242134248"
"collab_closeness","numeric","greaterOrEqual,0.744225171800527"
"collab_kcore","numeric","lowerOrEqual,1.95948879723437"
"collab_out_degree","numeric","lowerOrEqual,21.988527712645"
