"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:FALSE,FALSE:TRUE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,47.3420765027322"
"colemanlieu","numeric","lowerOrEqual,11.9677"
"text_bernoulli","numeric","lowerOrEqual,2.56193465478191e-34"
"text_complement","numeric","greaterOrEqual,0.170885611342409"
"reporter_recent_bugnum","numeric","greaterOrEqual,4"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.980769230769231"
"assignee_bugnum","numeric","lowerOrEqual,33"
"assignee_recent_bugnum","numeric","lowerOrEqual,8.9005384426564"
"count_summ_before","numeric","greaterOrEqual,0.203831205610186"
"sp_sprint","numeric","greaterOrEqual,5.30751550314017"
