"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,49.9106451013163"
"colemanlieu","numeric","lowerOrEqual,14.2490402616258"
"text_multinomial","numeric","greaterOrEqual,0.0333780584457165"
"text_gaussian","numeric","greaterOrEqual,8.62148792035099e-176"
"text_bernoulli","numeric","greaterOrEqual,3.14233069904168e-05"
"reporter_bugnum","numeric","lowerOrEqual,75.8958052666858"
"reporter_recent_bugnum","numeric","lowerOrEqual,20.9773119203746"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.910990933396326"
"assignee_recent_bugnum","numeric","lowerOrEqual,4.91018472844735"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.866221644369732"
"count_summ_before","numeric","lowerOrEqual,0.648224547621794"
"wordsDiff","numeric","lowerOrEqual,-0.0280913955066353"
"sp_diff","numeric","lowerOrEqual,-0.0500531163997948"
"sp_sprint","numeric","greaterOrEqual,3.02221057284623"
"collab_closeness","numeric","lowerOrEqual,0.528824807179979"
"collab_kcore","numeric","lowerOrEqual,1.99138819170184"
"collab_out_degree","numeric","lowerOrEqual,20.9605848779902"
