"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"firststorypoints","numeric","greaterOrEqual,2.00499309389852"
"flesch","numeric","lowerOrEqual,50.59775"
"lix","numeric","greaterOrEqual,50.4025565690396"
"text_gaussian","numeric","greaterOrEqual,1.45317510263706e-192"
"text_bernoulli","numeric","greaterOrEqual,0.0035894323617063"
"text_complement","numeric","greaterOrEqual,0.323263392392242"
"reporter_bugnum","numeric","greaterOrEqual,47.0755769554526"
"reporter_recent_bugnum","numeric","greaterOrEqual,9.03869177401066"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.845941856838077"
"assignee_bugnum","numeric","greaterOrEqual,37.0126960482448"
"assignee_recent_bugnum","numeric","greaterOrEqual,7.01613222062588"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.872385728677577"
"count_summ_before","numeric","lowerOrEqual,0.557689037872478"
"wordsDiff","numeric","lowerOrEqual,-0.0786524792201817"
"sp_diff","numeric","lowerOrEqual,-0.0233679830562323"
"collab_betweenness","numeric","greaterOrEqual,0.548802226323963"
"collab_closeness","numeric","greaterOrEqual,0.750535688719579"
"collab_kcore","numeric","lowerOrEqual,1.9987718181219"
"collab_out_degree","numeric","greaterOrEqual,21.0000882628374"
