"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:FALSE,FALSE:TRUE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"firststorypoints","numeric","lowerOrEqual,2.99566109869629"
"colemanlieu","numeric","greaterOrEqual,15.9935520172436"
"smog","numeric","greaterOrEqual,13.5812874880166"
"text_gaussian","numeric","lowerOrEqual,0.483323971391656"
"text_bernoulli","numeric","greaterOrEqual,1.26185961987059e-11"
"text_complement","numeric","greaterOrEqual,0.151504336663768"
"reporter_bugnum","numeric","lowerOrEqual,18.4593619706575"
"reporter_recent_bugnum","numeric","lowerOrEqual,4.9281378169544"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.938726691182025"
"assignee_bugnum","numeric","lowerOrEqual,13.7501651814673"
"assignee_recent_bugnum","numeric","greaterOrEqual,3.00234254077077"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.938775333583755"
"count_summ_before","numeric","lowerOrEqual,0.680472474894486"
"wordsDiff","numeric","lowerOrEqual,-0.382611490786076"
"sp_diff","numeric","lowerOrEqual,-0.749762602383271"
"collab_betweenness","numeric","greaterOrEqual,0.356095074129795"
"collab_closeness","numeric","greaterOrEqual,0.476923076923077"
"collab_in_degree","numeric","greaterOrEqual,23.1488403081894"
"collab_kcore","numeric","lowerOrEqual,1.96902238344774"
