"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,53.9483883465751"
"colemanlieu","numeric","greaterOrEqual,15.0331"
"text_multinomial","numeric","greaterOrEqual,0.0511201880429894"
"text_gaussian","numeric","greaterOrEqual,2.39490145033506e-174"
"text_bernoulli","numeric","greaterOrEqual,0.0005196310421096"
"reporter_bugnum","numeric","lowerOrEqual,58.7092478070408"
"reporter_recent_bugnum","numeric","greaterOrEqual,11.0374035488348"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.908299169479522"
"assignee_recent_bugnum","numeric","lowerOrEqual,6.96662276540883"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.907104076034388"
"count_summ_before","numeric","lowerOrEqual,0.916689494391903"
"wordsDiff","numeric","lowerOrEqual,-0.01821847865358"
"sp_diff","numeric","lowerOrEqual,-0.0400666000787169"
"sp_sprint","numeric","greaterOrEqual,4.01295339781791"
"collab_betweenness","numeric","lowerOrEqual,0.295454545454546"
"collab_closeness","numeric","lowerOrEqual,0.46358430694737"
"collab_in_degree","numeric","greaterOrEqual,15.0456412713975"
"collab_kcore","numeric","lowerOrEqual,1.99860361078754"
