"varname","cls","rule"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"firststorypoints","numeric","greaterOrEqual,3.25688767526299"
"lix","numeric","lowerOrEqual,47.8183396929073"
"text_gaussian","numeric","greaterOrEqual,0.0336247417144477"
"text_bernoulli","numeric","greaterOrEqual,3.79461102878295e-05"
"text_complement","numeric","greaterOrEqual,0.435633024813463"
"reporter_bugnum","numeric","lowerOrEqual,15"
"reporter_recent_bugnum","numeric","lowerOrEqual,9.61829141201451"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.859463808903949"
"assignee_recent_bugnum","numeric","greaterOrEqual,3.31991247669794"
"assignee_stable_sp_rate","numeric","greaterOrEqual,0.834620722150676"
"count_comment_before","numeric","lowerOrEqual,-0.283676282735541"
"count_summ_before","numeric","lowerOrEqual,0.634678652044386"
"wordsDiff","numeric","lowerOrEqual,7"
"sp_diff","numeric","lowerOrEqual,-2"
"collab_betweenness","numeric","greaterOrEqual,0.428571428571428"
"collab_closeness","numeric","greaterOrEqual,0.833333333333333"
"collab_in_degree","numeric","greaterOrEqual,7.06463520554826"
