"varname","cls","rule"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"firststorypoints","numeric","greaterOrEqual,3.15960277989507"
"lix","numeric","lowerOrEqual,50.0138888888889"
"text_gaussian","numeric","greaterOrEqual,0.00305477692745626"
"text_bernoulli","numeric","greaterOrEqual,1.1831195855689e-05"
"text_complement","numeric","greaterOrEqual,0.461928960987475"
"reporter_bugnum","numeric","lowerOrEqual,18.2782922070473"
"reporter_recent_bugnum","numeric","greaterOrEqual,9.08899431559257"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.842487768084527"
"assignee_recent_bugnum","numeric","greaterOrEqual,4.08371825702488"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.851394200188763"
"count_comment_before","numeric","lowerOrEqual,-0.136163581395522"
"count_summ_before","numeric","lowerOrEqual,0.686470390297472"
"wordsDiff","numeric","greaterOrEqual,0.129974352195859"
"sp_diff","numeric","lowerOrEqual,-2"
"collab_betweenness","numeric","greaterOrEqual,0.429444221979273"
"collab_closeness","numeric","greaterOrEqual,0.801667807802845"
"collab_in_degree","numeric","lowerOrEqual,6.59150925581343"
