"varname","cls","rule"
"has_CODE","factor","TRUE:FALSE,FALSE:TRUE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"firststorypoints","numeric","greaterOrEqual,3.07298664934933"
"lix","numeric","greaterOrEqual,50.9003156891937"
"text_gaussian","numeric","greaterOrEqual,0.024647970800288"
"text_bernoulli","numeric","greaterOrEqual,2.3809877857256e-07"
"text_complement","numeric","greaterOrEqual,0.39334483132734"
"reporter_bugnum","numeric","lowerOrEqual,17"
"reporter_recent_bugnum","numeric","lowerOrEqual,8.94188056886196"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.850865260953355"
"assignee_recent_bugnum","numeric","lowerOrEqual,4.76850200351328"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.831611636249969"
"count_comment_before","numeric","lowerOrEqual,-0.023760253097862"
"count_summ_before","numeric","lowerOrEqual,1.20258345874026"
"wordsDiff","numeric","lowerOrEqual,23.2208891361952"
"sp_diff","numeric","lowerOrEqual,-2"
"collab_betweenness","numeric","greaterOrEqual,0.401532985964183"
"collab_closeness","numeric","greaterOrEqual,0.826650484992716"
"collab_in_degree","numeric","lowerOrEqual,6.86072756024078"
