"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,49.9422820420826"
"colemanlieu","numeric","lowerOrEqual,13.99815"
"text_multinomial","numeric","greaterOrEqual,0.0278689385309388"
"text_gaussian","numeric","lowerOrEqual,0.539627424906939"
"text_bernoulli","numeric","greaterOrEqual,4.02156008181791e-05"
"reporter_bugnum","numeric","greaterOrEqual,73.4145564436913"
"reporter_recent_bugnum","numeric","greaterOrEqual,19.1432182709686"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.910784518735155"
"assignee_recent_bugnum","numeric","lowerOrEqual,3.94215255975723"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.866605687610532"
"count_summ_before","numeric","lowerOrEqual,0.657390003092587"
"wordsDiff","numeric","lowerOrEqual,-0.12427263520658"
"sp_diff","numeric","lowerOrEqual,-0.0117753194645047"
"sp_sprint","numeric","lowerOrEqual,2.99959216918796"
"collab_closeness","numeric","lowerOrEqual,0.526315789473684"
"collab_kcore","numeric","lowerOrEqual,1.97346661845222"
"collab_out_degree","numeric","greaterOrEqual,21.1397553987335"
