"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,49.9569638855139"
"colemanlieu","numeric","lowerOrEqual,14.2308602445699"
"text_multinomial","numeric","greaterOrEqual,0.0318733622427263"
"text_gaussian","numeric","lowerOrEqual,0.483320353319868"
"text_bernoulli","numeric","greaterOrEqual,5.84511395775957e-05"
"reporter_bugnum","numeric","greaterOrEqual,77"
"reporter_recent_bugnum","numeric","greaterOrEqual,19.0557907128241"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.910965711248466"
"assignee_recent_bugnum","numeric","lowerOrEqual,3.67076542996801"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.86784119983533"
"count_summ_before","numeric","lowerOrEqual,0.797265765955672"
"wordsDiff","numeric","lowerOrEqual,-0.0450901633594185"
"sp_diff","numeric","lowerOrEqual,-0.306303424760699"
"sp_sprint","numeric","greaterOrEqual,3.00267460057512"
"collab_closeness","numeric","lowerOrEqual,0.525932407762383"
"collab_kcore","numeric","lowerOrEqual,1.98608907265589"
"collab_out_degree","numeric","greaterOrEqual,21.0890282995533"
