"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:FALSE,FALSE:TRUE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"OB","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:FALSE,FALSE:TRUE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"colemanlieu","numeric","greaterOrEqual,18.85235"
"smog","numeric","greaterOrEqual,12.5892793256721"
"text_multinomial","numeric","greaterOrEqual,0.0046217599137955"
"text_gaussian","numeric","lowerOrEqual,0.485732037806883"
"text_bernoulli","numeric","greaterOrEqual,3.71881244179304e-16"
"reporter_bugnum","numeric","lowerOrEqual,17.9970635937061"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.967879988528112"
"assignee_recent_bugnum","numeric","lowerOrEqual,9.83851797762327"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.956521739130435"
"count_summ_before","numeric","greaterOrEqual,0.00702161830849946"
"wordsDiff","numeric","lowerOrEqual,-0.127622453263029"
"sp_diff","numeric","lowerOrEqual,-0.5"
"sp_sprint","numeric","lowerOrEqual,4.98936841450632"
"collab_betweenness","numeric","greaterOrEqual,0.271020408163265"
"collab_closeness","numeric","greaterOrEqual,0.408163265306123"
"collab_eigen_vector","numeric","greaterOrEqual,0.418764752958495"
"collab_in_degree","numeric","greaterOrEqual,23.2768640427385"
