"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"firststorypoints","numeric","lowerOrEqual,2.98882398428395"
"colemanlieu","numeric","greaterOrEqual,15.8528"
"smog","numeric","lowerOrEqual,13.3924907815619"
"text_gaussian","numeric","lowerOrEqual,0.555434039793909"
"text_bernoulli","numeric","greaterOrEqual,1.0115410423137e-08"
"text_complement","numeric","greaterOrEqual,0.134283554187203"
"reporter_bugnum","numeric","greaterOrEqual,19.2768711349927"
"reporter_recent_bugnum","numeric","greaterOrEqual,5.11332419421524"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.938597442795678"
"assignee_bugnum","numeric","greaterOrEqual,15.0520555172116"
"assignee_recent_bugnum","numeric","greaterOrEqual,3.02043471578509"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.939393939393939"
"count_summ_before","numeric","lowerOrEqual,0.685783427441493"
"wordsDiff","numeric","lowerOrEqual,-0.0701207853853703"
"sp_diff","numeric","lowerOrEqual,-0.328694573137909"
"collab_betweenness","numeric","lowerOrEqual,0.360272638753651"
"collab_closeness","numeric","lowerOrEqual,0.478000485633189"
"collab_in_degree","numeric","lowerOrEqual,23.7959781105164"
"collab_kcore","numeric","lowerOrEqual,1.94812000263482"
