"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:FALSE,FALSE:TRUE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:FALSE,FALSE:TRUE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","lowerOrEqual,46.8888888888889"
"colemanlieu","numeric","lowerOrEqual,11.9291"
"text_bernoulli","numeric","greaterOrEqual,1.09459732094328e-14"
"text_complement","numeric","greaterOrEqual,0.197237642631206"
"reporter_recent_bugnum","numeric","greaterOrEqual,3.08569855545647"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.980769230769231"
"assignee_bugnum","numeric","lowerOrEqual,37.4842442604713"
"assignee_recent_bugnum","numeric","greaterOrEqual,9.10322684934363"
"count_summ_before","numeric","lowerOrEqual,1"
"sp_sprint","numeric","lowerOrEqual,4.91109017329291"
