"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:FALSE,FALSE:TRUE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"firststorypoints","numeric","lowerOrEqual,2.98168679513037"
"colemanlieu","numeric","greaterOrEqual,15.92045"
"smog","numeric","lowerOrEqual,13.1857378583242"
"text_gaussian","numeric","lowerOrEqual,0.607217350276187"
"text_bernoulli","numeric","greaterOrEqual,1.19307843267895e-09"
"text_complement","numeric","greaterOrEqual,0.149257149984533"
"reporter_bugnum","numeric","lowerOrEqual,18.9856886612251"
"reporter_recent_bugnum","numeric","lowerOrEqual,4.99103121669032"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.938260945967353"
"assignee_bugnum","numeric","greaterOrEqual,14.2433622386307"
"assignee_recent_bugnum","numeric","lowerOrEqual,3.96026907488704"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.936663327282421"
"count_summ_before","numeric","lowerOrEqual,0.534022759180516"
"wordsDiff","numeric","lowerOrEqual,-0.0332924495451152"
"sp_diff","numeric","lowerOrEqual,-0.045586058171466"
"collab_betweenness","numeric","greaterOrEqual,0.360687464631233"
"collab_closeness","numeric","lowerOrEqual,0.481385671624073"
"collab_in_degree","numeric","lowerOrEqual,23.903349366039"
"collab_kcore","numeric","lowerOrEqual,1.94139076629654"
