"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"OB","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"colemanlieu","numeric","lowerOrEqual,18.8244"
"smog","numeric","greaterOrEqual,12.4951552314343"
"text_multinomial","numeric","greaterOrEqual,0.0079418657817535"
"text_gaussian","numeric","lowerOrEqual,0.491580841364339"
"text_bernoulli","numeric","greaterOrEqual,9.4073982057854e-13"
"reporter_bugnum","numeric","lowerOrEqual,17.2610471062362"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.966625738985626"
"assignee_recent_bugnum","numeric","greaterOrEqual,9.03686742577702"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.957439344618101"
"count_summ_before","numeric","greaterOrEqual,0.0151816057041287"
"wordsDiff","numeric","lowerOrEqual,-0.313645700924098"
"sp_diff","numeric","lowerOrEqual,-0.5"
"sp_sprint","numeric","lowerOrEqual,4.97333658160642"
"collab_betweenness","numeric","lowerOrEqual,0.265743895667802"
"collab_closeness","numeric","greaterOrEqual,0.393939393939394"
"collab_eigen_vector","numeric","lowerOrEqual,0.412564296940085"
"collab_in_degree","numeric","lowerOrEqual,22.382842856925"
