"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"firststorypoints","numeric","greaterOrEqual,2.00432752363849"
"flesch","numeric","lowerOrEqual,51.0361198419155"
"lix","numeric","greaterOrEqual,50.0049019607843"
"text_gaussian","numeric","greaterOrEqual,4.20555297505812e-126"
"text_bernoulli","numeric","greaterOrEqual,0.00530983536571245"
"text_complement","numeric","greaterOrEqual,0.32501581908044"
"reporter_bugnum","numeric","greaterOrEqual,48.0235309447162"
"reporter_recent_bugnum","numeric","lowerOrEqual,8.99482286069542"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.845980264303991"
"assignee_bugnum","numeric","lowerOrEqual,37.9681775667705"
"assignee_recent_bugnum","numeric","lowerOrEqual,6.99861556151882"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.871992289707811"
"count_summ_before","numeric","lowerOrEqual,0.814550939481705"
"wordsDiff","numeric","lowerOrEqual,-0.0150710977613926"
"sp_diff","numeric","lowerOrEqual,-0.0724209693726152"
"collab_betweenness","numeric","lowerOrEqual,0.547494650395301"
"collab_closeness","numeric","greaterOrEqual,0.75002821749298"
"collab_kcore","numeric","lowerOrEqual,1.98051274567842"
"collab_out_degree","numeric","lowerOrEqual,20.9878101763315"
