"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:FALSE,FALSE:TRUE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,47.0757853937169"
"colemanlieu","numeric","greaterOrEqual,12.4289"
"text_bernoulli","numeric","greaterOrEqual,1.1818722661356e-25"
"text_complement","numeric","greaterOrEqual,0.184606903679891"
"reporter_recent_bugnum","numeric","greaterOrEqual,2.16370458947495"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.971153846153846"
"assignee_bugnum","numeric","greaterOrEqual,43"
"assignee_recent_bugnum","numeric","lowerOrEqual,9.63227112870663"
"count_summ_before","numeric","greaterOrEqual,0.415496975649148"
"sp_sprint","numeric","lowerOrEqual,4.64186158496886"
