"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,54.0581395348837"
"colemanlieu","numeric","greaterOrEqual,14.9612762284397"
"text_multinomial","numeric","greaterOrEqual,0.0311117600966125"
"text_gaussian","numeric","greaterOrEqual,1.84205503455146e-96"
"text_bernoulli","numeric","greaterOrEqual,5.55563649078986e-05"
"reporter_bugnum","numeric","lowerOrEqual,54.7154086062219"
"reporter_recent_bugnum","numeric","greaterOrEqual,11.0034450534731"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.908209273317292"
"assignee_recent_bugnum","numeric","greaterOrEqual,7.00239921547472"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.907419668658332"
"count_summ_before","numeric","lowerOrEqual,1.00802430557087"
"wordsDiff","numeric","lowerOrEqual,-0.044122883817181"
"sp_diff","numeric","lowerOrEqual,-0.548500217497349"
"sp_sprint","numeric","greaterOrEqual,4.00457015447319"
"collab_betweenness","numeric","greaterOrEqual,0.295442908346134"
"collab_closeness","numeric","greaterOrEqual,0.475448520550423"
"collab_in_degree","numeric","greaterOrEqual,15.0325796715915"
"collab_kcore","numeric","lowerOrEqual,1.9983318974264"
