"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"OB","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"colemanlieu","numeric","greaterOrEqual,19.0831"
"smog","numeric","greaterOrEqual,12.4964933757887"
"text_multinomial","numeric","greaterOrEqual,0.00693585188906955"
"text_gaussian","numeric","lowerOrEqual,0.588645775103942"
"text_bernoulli","numeric","greaterOrEqual,1.83979842526283e-13"
"reporter_bugnum","numeric","lowerOrEqual,16.9759126463905"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.965213667312871"
"assignee_recent_bugnum","numeric","lowerOrEqual,9.96634574560449"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.95761780766722"
"count_summ_before","numeric","greaterOrEqual,0.0521943476051092"
"wordsDiff","numeric","lowerOrEqual,-0.0549378818832338"
"sp_diff","numeric","lowerOrEqual,0"
"sp_sprint","numeric","lowerOrEqual,4.91032011946663"
"collab_betweenness","numeric","lowerOrEqual,0.263042570350106"
"collab_closeness","numeric","greaterOrEqual,0.412404092071611"
"collab_eigen_vector","numeric","lowerOrEqual,0.415618738804566"
"collab_in_degree","numeric","lowerOrEqual,22.9970462620258"
