"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"OB","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"colemanlieu","numeric","greaterOrEqual,19.1888"
"smog","numeric","lowerOrEqual,12.4805250938036"
"text_multinomial","numeric","greaterOrEqual,0.0076325367962262"
"text_gaussian","numeric","lowerOrEqual,0.466753309359774"
"text_bernoulli","numeric","greaterOrEqual,3.85612329181405e-12"
"reporter_bugnum","numeric","lowerOrEqual,17.3605900683906"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.966828145951607"
"assignee_recent_bugnum","numeric","lowerOrEqual,10.9089402537793"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.956747192955146"
"count_summ_before","numeric","greaterOrEqual,0.0243631722405553"
"wordsDiff","numeric","lowerOrEqual,-0.0952464665751904"
"sp_diff","numeric","lowerOrEqual,-0.5"
"sp_sprint","numeric","lowerOrEqual,4.95130850817077"
"collab_betweenness","numeric","lowerOrEqual,0.266885209269279"
"collab_closeness","numeric","greaterOrEqual,0.400974144558371"
"collab_eigen_vector","numeric","lowerOrEqual,0.416028543821007"
"collab_in_degree","numeric","greaterOrEqual,23.7817657089327"
