"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"firststorypoints","numeric","lowerOrEqual,2.99952111393213"
"colemanlieu","numeric","greaterOrEqual,15.64755"
"smog","numeric","lowerOrEqual,13.4566311161696"
"text_gaussian","numeric","lowerOrEqual,0.51081351400353"
"text_bernoulli","numeric","greaterOrEqual,6.52317615909671e-08"
"text_complement","numeric","greaterOrEqual,0.146861796310837"
"reporter_bugnum","numeric","lowerOrEqual,18.7403555214405"
"reporter_recent_bugnum","numeric","lowerOrEqual,4.98023689258844"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.939393939393939"
"assignee_bugnum","numeric","lowerOrEqual,13.5715124660637"
"assignee_recent_bugnum","numeric","greaterOrEqual,3.00044870981947"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.939393939393939"
"count_summ_before","numeric","lowerOrEqual,0.667205650126562"
"wordsDiff","numeric","lowerOrEqual,3.5"
"sp_diff","numeric","lowerOrEqual,-0.764822330558673"
"collab_betweenness","numeric","greaterOrEqual,0.34925518134715"
"collab_closeness","numeric","lowerOrEqual,0.47797025824796"
"collab_in_degree","numeric","lowerOrEqual,23.9453837734181"
"collab_kcore","numeric","lowerOrEqual,1.99043131037615"
