"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:FALSE,FALSE:TRUE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"lix","numeric","lowerOrEqual,46.6666666666667"
"colemanlieu","numeric","greaterOrEqual,12.4342"
"text_bernoulli","numeric","lowerOrEqual,2.33432375429823e-25"
"text_complement","numeric","greaterOrEqual,0.148294180736254"
"reporter_recent_bugnum","numeric","greaterOrEqual,2.09745571925305"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.980769230769231"
"assignee_bugnum","numeric","lowerOrEqual,36.3610468716361"
"assignee_recent_bugnum","numeric","lowerOrEqual,9.5634489133954"
"count_summ_before","numeric","lowerOrEqual,1.68964864697773"
"sp_sprint","numeric","lowerOrEqual,3.96421455359086"
