"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"OB","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"colemanlieu","numeric","lowerOrEqual,18.76185"
"smog","numeric","greaterOrEqual,12.5906077328274"
"text_multinomial","numeric","greaterOrEqual,0.00642959025087012"
"text_gaussian","numeric","lowerOrEqual,0.486298047355376"
"text_bernoulli","numeric","greaterOrEqual,1.68931263668177e-12"
"reporter_bugnum","numeric","greaterOrEqual,17.5"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.974214827335868"
"assignee_recent_bugnum","numeric","lowerOrEqual,9.82540777744725"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.956630189490675"
"count_summ_before","numeric","lowerOrEqual,1.61863464885391"
"wordsDiff","numeric","lowerOrEqual,-0.0142814710270613"
"sp_diff","numeric","lowerOrEqual,1"
"sp_sprint","numeric","lowerOrEqual,4.91856670798734"
"collab_betweenness","numeric","greaterOrEqual,0.262854609929078"
"collab_closeness","numeric","lowerOrEqual,0.398952668234984"
"collab_eigen_vector","numeric","greaterOrEqual,0.408250799574529"
"collab_in_degree","numeric","greaterOrEqual,24"
