"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"firststorypoints","numeric","greaterOrEqual,2.00564535846934"
"flesch","numeric","lowerOrEqual,51.0389"
"lix","numeric","greaterOrEqual,50.210897056888"
"text_gaussian","numeric","greaterOrEqual,8.45550061139717e-132"
"text_bernoulli","numeric","greaterOrEqual,0.0070156546261378"
"text_complement","numeric","greaterOrEqual,0.324874302375503"
"reporter_bugnum","numeric","lowerOrEqual,48.8980171734001"
"reporter_recent_bugnum","numeric","lowerOrEqual,8.99080744432285"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.832051273124038"
"assignee_bugnum","numeric","lowerOrEqual,37.9028628836386"
"assignee_recent_bugnum","numeric","lowerOrEqual,6.9914404230658"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.872344726714006"
"count_summ_before","numeric","lowerOrEqual,0.797896568314172"
"wordsDiff","numeric","lowerOrEqual,-0.102724882774055"
"sp_diff","numeric","lowerOrEqual,-0.0718060480430722"
"collab_betweenness","numeric","lowerOrEqual,0.54424914825789"
"collab_closeness","numeric","greaterOrEqual,0.750133790749879"
"collab_kcore","numeric","lowerOrEqual,1.96571289096028"
"collab_out_degree","numeric","greaterOrEqual,21.0155704803765"
