"varname","cls","rule"
"has_TESTCASE","factor","TRUE:FALSE,FALSE:TRUE"
"has_ATTACHMENT","factor","TRUE:FALSE,FALSE:TRUE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:FALSE,FALSE:TRUE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"lix","numeric","lowerOrEqual,46.7777777777778"
"colemanlieu","numeric","lowerOrEqual,12.0896"
"text_bernoulli","numeric","greaterOrEqual,3.11190354790014e-24"
"text_complement","numeric","greaterOrEqual,0.158402024818713"
"reporter_recent_bugnum","numeric","greaterOrEqual,2.19657946098596"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.980769230769231"
"assignee_bugnum","numeric","lowerOrEqual,36"
"assignee_recent_bugnum","numeric","lowerOrEqual,9.696234382689"
"count_summ_before","numeric","lowerOrEqual,1.29760446259752"
"sp_sprint","numeric","lowerOrEqual,4.64518740773201"
