"varname","cls","rule"
"has_CODE","factor","TRUE:FALSE,FALSE:TRUE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:FALSE,FALSE:TRUE"
"LINK","factor","TRUE:FALSE,FALSE:TRUE"
"firststorypoints","numeric","lowerOrEqual,2.82641062722541"
"lix","numeric","lowerOrEqual,46.0714285714286"
"text_gaussian","numeric","greaterOrEqual,0.118530515115708"
"text_bernoulli","numeric","greaterOrEqual,0.00983702897785796"
"text_complement","numeric","greaterOrEqual,0.444318650347855"
"reporter_bugnum","numeric","lowerOrEqual,15"
"reporter_recent_bugnum","numeric","lowerOrEqual,8.13433835888281"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.860308430962611"
"assignee_recent_bugnum","numeric","greaterOrEqual,2.16139394952916"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.832221892775528"
"count_comment_before","numeric","lowerOrEqual,-0.0941551623400301"
"count_summ_before","numeric","lowerOrEqual,0.655032503884286"
"wordsDiff","numeric","lowerOrEqual,19"
"sp_diff","numeric","lowerOrEqual,-2"
"collab_betweenness","numeric","greaterOrEqual,0.434285452317757"
"collab_closeness","numeric","greaterOrEqual,0.833333333333333"
"collab_in_degree","numeric","lowerOrEqual,6.97883308492601"
