"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:FALSE,FALSE:TRUE"
"OB","factor","TRUE:FALSE,FALSE:TRUE"
"EB","factor","TRUE:FALSE,FALSE:TRUE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"colemanlieu","numeric","greaterOrEqual,18.9226"
"smog","numeric","greaterOrEqual,12.5752915745544"
"text_multinomial","numeric","greaterOrEqual,0.0057382554295337"
"text_gaussian","numeric","lowerOrEqual,0.62903040763922"
"text_bernoulli","numeric","greaterOrEqual,1.59011221073502e-16"
"reporter_bugnum","numeric","greaterOrEqual,16.1110298880376"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.972912426478293"
"assignee_recent_bugnum","numeric","lowerOrEqual,9.96431732480414"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.957405333443043"
"count_summ_before","numeric","greaterOrEqual,0.0199360924307257"
"wordsDiff","numeric","lowerOrEqual,-0.151059402152896"
"sp_diff","numeric","lowerOrEqual,-0.5"
"sp_sprint","numeric","lowerOrEqual,4.89176906831563"
"collab_betweenness","numeric","lowerOrEqual,0.261811464397671"
"collab_closeness","numeric","lowerOrEqual,0.407192075796727"
"collab_eigen_vector","numeric","lowerOrEqual,0.412443864873392"
"collab_in_degree","numeric","lowerOrEqual,22.444442990236"
