"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,54.7793903050251"
"colemanlieu","numeric","greaterOrEqual,15.0095"
"text_multinomial","numeric","greaterOrEqual,0.0353675483814828"
"text_gaussian","numeric","greaterOrEqual,6.63124184613215e-147"
"text_bernoulli","numeric","greaterOrEqual,8.37066174841784e-05"
"reporter_bugnum","numeric","lowerOrEqual,56.8196442672051"
"reporter_recent_bugnum","numeric","greaterOrEqual,11.0103032095358"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.908011276100158"
"assignee_recent_bugnum","numeric","lowerOrEqual,6.93712376058102"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.907458665183487"
"count_summ_before","numeric","lowerOrEqual,0.693020822480321"
"wordsDiff","numeric","lowerOrEqual,-0.165810421574861"
"sp_diff","numeric","lowerOrEqual,-0.0965568877290934"
"sp_sprint","numeric","greaterOrEqual,4.05157767096534"
"collab_betweenness","numeric","greaterOrEqual,0.295936891289944"
"collab_closeness","numeric","lowerOrEqual,0.467476267484017"
"collab_in_degree","numeric","greaterOrEqual,15.0130650959909"
"collab_kcore","numeric","lowerOrEqual,1.98510943399742"
