"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:FALSE,FALSE:TRUE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,49.7682926829268"
"colemanlieu","numeric","lowerOrEqual,13.9633478195657"
"text_multinomial","numeric","greaterOrEqual,0.035835367065376"
"text_gaussian","numeric","greaterOrEqual,5.95428292415591e-245"
"text_bernoulli","numeric","greaterOrEqual,2.40863353362224e-05"
"reporter_bugnum","numeric","greaterOrEqual,74.032599811675"
"reporter_recent_bugnum","numeric","greaterOrEqual,19.1379304490983"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.908496732026144"
"assignee_recent_bugnum","numeric","lowerOrEqual,3.88653280772269"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.868720085783746"
"count_summ_before","numeric","lowerOrEqual,0.699024351895787"
"wordsDiff","numeric","lowerOrEqual,-0.0558974172454327"
"sp_diff","numeric","lowerOrEqual,-0.162234187591821"
"sp_sprint","numeric","greaterOrEqual,3.00362556613982"
"collab_closeness","numeric","lowerOrEqual,0.530437933789058"
"collab_kcore","numeric","lowerOrEqual,1.98583330912516"
"collab_out_degree","numeric","greaterOrEqual,21.1223186803982"
