issue_key,sp_fluctuate,code,evidence
TIMOB-15718,FALSE,issue organization,Android:
TIMOB-17567,FALSE,typo,
TIMOB-17918,FALSE,additional details,add link and define the scope of task
TIMOB-18599,FALSE,rephrasing,add `add`
TIMOB-19052,FALSE,typo,build > crate
TIMOB-19085,FALSE,additional details,add observed behavior
TIMOB-19119,FALSE,additional details,change code detail
TIMOB-19151,FALSE,text formatting,text formatting
TIMOB-19151,FALSE,issue organization,ios9
TIMOB-19187,FALSE,rephrasing,Hub Control > TabGroup
TIMOB-19356,FALSE,issue organization,iOS9
TIMOB-19577,FALSE,additional details,"(probably wrong detail) Facebook SDK 4.7 release on 10 Sep 15, which is 14 days before issue created, they should've update it to the latest version. so I mark it as wrong info"
TIMOB-19682,FALSE,additional details,add example code
TIMOB-19692,FALSE,rephrasing,"rephrase summary (ensure > maake, works > work), note that refactor outdated methods is not a new task becuase it was stated in the 3) ""fix all deprecated warnings"""
TIMOB-19692,FALSE,additional details,"change stable branch to master branch, add more info to todo-list"
TIMOB-19777,FALSE,typo,
TIMOB-20055,FALSE,task added,"add ""- Enable ARC in all related files (!)"""
TIMOB-20078,FALSE,text formatting,rephrase summary
TIMOB-20167,FALSE,additional details,"add (""on surface pro 3"")"
TIMOB-20228,FALSE,additional details,"(probably wrong detail) the correct requirement is Xcode, not iOS Sdk verison (stated in comment)"
TIMOB-20405,FALSE,additional details,add expected behavior
TIMOB-20496,FALSE,additional details,add reason why they need this function
TIMOB-23225,FALSE,issue organization,
TIMOB-23264,FALSE,additional details,information added that they have to support legacy pattern.
TIMOB-23319,FALSE,additional details,change example code
TIMOB-23374,FALSE,typo,
TIMOB-23454,FALSE,additional details,add detail on expected behavior
TIMOB-23546,FALSE,additional details,change observed behavior and update code
TIMOB-23557,FALSE,additional details,"change/add detials, add steps and code"
TIMOB-23573,FALSE,additional details,example code added
TIMOB-23657,FALSE,additional details,"change OB, added test case (code), add expected behaviors"
TIMOB-23709,FALSE,rephrasing,"rephrase summary (The removed text ""fix master branch"" still in the description)"
TIMOB-23752,FALSE,additional details,note removed
TIMOB-23797,FALSE,additional details,add issue 23799 as a reference
TIMOB-23866,FALSE,text formatting,
TIMOB-23881,FALSE,additional details,"step2reproduce, expected behaviors, observed behaviors"
TIMOB-24034,FALSE,additional details,add one more solution and add detail to the 2nd solution
TIMOB-24135,FALSE,additional details,remove one line of code
TIMOB-24252,FALSE,additional details,add code
TIMOB-24331,FALSE,additional details,change code detail
TIMOB-24438,FALSE,additional details,"(probably wrong detail) wrong info because their app still use API23, no chance to use appcompat25"
